title,processed,type
Kit Kittredge: An American Girl,kit kittredge american girl comedy drama family great depression hit home nine year old kit kittredge dad loses business leaf find work oscar nominee abigail breslin star kit leading splendid cast first ever american girl theatrical movie order keep home kit mother must take boarder paying house guest turn full fascinating story mother lockbox containing money stolen kit new hobo friend prime suspect kit refuse believe would steal effort sniff real story get friend big trouble police say robbery inside job committed someone know cincinnati woman director abigail breslin chris donnell julia ormond patricia rozema,movie
The Perfect Man,perfect man comedy drama family romance holly tired moving every time mom jean break yet another second rate guy distract mother latest bad choice holly conceives perfect plan perfect man imaginary secret admirer romance jean boost self esteem mother man woman relation single matchmaking single mother catfishing hilary duff heather locklear chris noth mark rosman,movie
Mo' Better Blues,mo better blue drama romance open bleek child learning play trumpet friend want come play mother insists finish lesson bleek grows adulthood form band bleek gilliam quartet story bleek shadow friendly rivalry stage spill professional relationship threatens tear apart quartet musical denzel washington spike lee wesley snipe spike lee,movie
Kung Pow: Enter the Fist,kung pow enter fist action comedy movie within movie created spoof martial art genre writer director steve oedekerk us contemporary character splice kung fu film weaving new old together main character chosen one oedekerk set avenge death parent hand kung fu legend master pain along way encounter strange character loss family loss parent supernatural power invulnerability spoof evil murder hunt hui lou chen tad horino steve oedekerk steve oedekerk,movie
Tremors,tremor action horror hick handyman val mckee earl bassett barely eke living nevada hamlet perfection decide leave town despite admonition shapely seismology coed picking odd reading equipment long val earl discover responsible reading foot long carnivorous worm proclivity sucking prey underground nevada small town tractor stranded cult favorite tentacle rural graboids seismologist binoculars man eaten monster giant worm kevin bacon fred ward finn carter ron underwood,movie
Wrong Turn,wrong turn horror thriller chris crash carload young people group stranded motorist soon lost wood west virginia hunted three cannibalistic mountain men grossly disfigured generation inbreeding life death death friend part dead body desmond harrington eliza dushku emmanuelle chriqui rob schmidt,movie
The Long Riders,long rider western history origin exploit ultimate fate james gang told sympathetic portrayal bank robber made brother begin legendary bank raid revenge brother brother relationship jesse james cole younger david carradine keith carradine robert carradine walter hill,movie
The Corruptor,corruptor action crime mystery thriller danny young cop partnered nick seasoned ethically tainted veteran two try stop gang war chinatown danny relies nick grows increasingly uncomfortable way nick get thing done new york life death gang war police china town triad mark wahlberg chow yun fat byron mann james foley,movie
Mud,mud drama two teenage boy encounter fugitive make pact help escape island mississippi river snake arkansas fugitive river boat matthew mcconaughey tye sheridan jacob lofland jeff nichols,movie
Reno 911!: Miami,reno miami action adventure comedy crime rag tag team reno cop called save day terrorist attack disrupts national police convention miami beach spring break based comedy central series sex terrorist beach nudity police parody attack shootout mockumentary explosion drug lennie loftin danny devito ben garant ben garant,movie
One Direction: This Is Us,one direction u documentary music go behind scene one direction sell take home tour experience life road concert harry style niall horan zayn malik morgan spurlock,movie
